text,rating,Review_Length
Way too big. Extremely strechy fabric. Provides no supports,1,59
Too little and fake had to return it,1,36
Cheap leather and much larger then I was expecting.,1,51
Smells like mold and is very thin and flimsy,1,44
This necklace is junk.  The chain was too think and kinked up.,1,62
The jacket came apart at a button. I wore it tree times. I want a refund!,1,73
Thus necklace broke as soon as i put it on.  I returned it,1,58
"I would give this product a 1, but I can't. I DO NOT recommend this for children under 10 yrs. old. It is not a necklace, it is a chocker.",1,138
Ordered a large for my husband. He wore it once. Washed it cold and machine dried. It now barely can button closed on him. We really liked the design. Not sure if I want to order a XXL for him as a replacement.,1,210
is to big for a girl and havy dont buy it,1,41
Ordered XL these are so small a child would have trouble fitting into them,1,74
Cane damaged with a hole in the pocket,1,38
Cheap fabric that won't travel well. Returned.,1,46
"Huge. This thing was below floor length if wrapped around the waist, and I am 5’9”. The fabric is also extremely thin. I returned it.",1,133
"Didn't like them. Did not work for me. So would like to return them,please. Thanks",1,82
"Too tight for upper arms.<br />Probably best fitted for a teenager, not an adult",1,80
"Chain was in 3 pieces, no extra battery as promised. No damage to package. The snitch itself is cute so if you don't mind locating batteries and a new chain... not a bad deal.",1,175
"The glasses were super cute I went to try them on , I opened the glasses and boom the handle broke off. I really thought they would be cute  now I will never know . They are very fragile so be careful when opening the handles",1,225
"Ridiculously small.<br />The quality is fine, appear to be  well made.  However, they are way, way too small for a size L.<br />I gave them to an eleven year old.!<br />I’m not returning them, just giving them away.",1,215
Shorts are a lot bigger than specified almost pant length,1,57
"The material is like a cheap, 90's swim suit. The dress itself it too short to be a dress, too long to be a shirt, and not the right cut to be a tunic.",1,151
Absolute NO.Completely ripped after 15 min of gentle wearing(pushing shopping cart and loading it with groceries).Waste of money.It literally peels off your hands like your skin.<br />Look for something else.,1,208
Wasn’t pleased with purchase.,1,29
Wont stay up and want a refund,1,30
Turned out to be unusable junk. Don't buy and look elsewhere.,1,61
"Far too large, they are baggy but not baggy enough to be the proper baggy slouch kind of beanie you see people wear.. the crown of the beanie has a point to it where the fabric was a sewn together. Rather a ugly big lose beanie. Even after washing. I have absolutely no plan on wearing this.",1,291
After 1st wash in a cold water it shrank 2 sizes!,1,49
"I’ve had for 10 minutes, it’s already broken. Pin came out and I’m trying to piece it back together. Description said it was white, it’s not white, it’s gray. Disappointed to say the least.",1,189
Outfit is too big and has loose threads! Not worthy money,1,57
Lenses were actually falling out.,1,33
These masks do not come with a nose wire as advertised. They came with a strip of plastic. I don't know if that is supposed to be the nose wire. I am so disappointed. No value.,1,176
I was looking for something for my kids to wear during this pandemic vs a mask. The material is very thin.  They feel like the same material as a dry fit t-shirt. Slightly sheer when stretched a bit.  I am not sure there is much protection with this.,1,250
I bought 2 shirts.  The first one was fine.  The second one was cut very different.  More like a mans shirt.  Way to small from the waist on down.  whitejo3240@gmail.com,1,169
"I'm average shaped and these did not work at all! Super bummed, the fit so weird.",1,81
Not as baggy as one would think. Fits like a nylon stocking.,1,60
These are super comfortable however the leather stretches and then your left with deformed shoes that you can no longer wear.,1,125
Terrible. Cheap material. Too large. Stitching began to come undone after wearing them for only 4 hours. I would never buy these again.,1,135
I wore 2 of them 1 time and they literally fell apart off my neck. The others broke while I was trying to latch them. I feel totally ripped off.,1,144
Worst product...material is not good,1,36
Shirt was too small !,1,21
El material plástico no me.gusto,1,32
"Material is irritating to the skin, caused a rash",1,49
"La mascarilla es cómoda, muy elegante y de una marca relevante. El problema está en el alambre de ajuste en la nariz. La usé solo durante 2 días y el alambre se partió. Ya no la puedo usar, se nota que la pieza está rota, y no permite sacarla sin romper la mascarilla.",1,268
"I got the mask on 9/30.  On 10/3, the mask started malfunctioning by showing partial of the image.  It shut off and never came back on.  I tried charging it, but it stopped working and won't turn back on.  The battery is taped inside it and cannot be charged.  VERY DISAPPOINTED!!!!",1,282
Not same color as shown. Not worth 10$.,1,39
Must be from China . Sizing way off . 3x felt like a Size small. I'd show you the video of me trying it on but Amazon would flag me for indecent exposure because the bra covered nothing,1,185
Sizes run very small - about 2 sizes smaller.,1,45
This is a waste of time and money,1,33
Came with loose stones and the chain portion looks horrible.  definitely get what you pay for,1,93
The top was not a small. It seemed as though the elastic had been completely stretched out.,1,91
This bracelet is very poorly made. It broke after two days.,1,59
The dress is very thin and the red roses started to fade when a drop of water touched it,1,88
I order 2 40 Pcs sets. When they arrive not only were there only 30 in each set but another 10 in each set did not work....pay for what you get I suppose.,1,154
Very small. I got two sizes bigger but it was still to small,1,60
"This is a very different material from most nylon underwear. It is a much larger weave and seems awkward for underwear. No cotton lining in the crotch area either, so they are not a good option healthwise. Would NOT recommend.",1,226
"Jacket was too small, hood was too small to fit the head. Hood wouldn't buckle and pull string snapped right off, no movement at all too tight on shoulders",1,155
Sizings are way off. The large size was too loose for me and will even show my boobs out. Its just way off. All the other i bought in amazon that are size large are ok though and fits me.,1,187
Don't waste you money!,1,22
"Felt like paper towel material and had random chunks of other colored threads sewn into the seams. Get what you pay for, I guess.",1,129
"Looks nothing like the picture, very loose and cheap.",1,53
Incredibly cheap product it’s literally made of ribbon and is<br />Ugly.,1,72
"They were very nice when  I first got them, they fit perfect, the material is kinda thin, and a bit see-thru, but I liked them, after washing them I hung them to dry, no dryer, and they still shrunk shorter and smaller. Not good, can't wear them anymore :( very dissappointed",1,275
I was not impressed! I am tall and slender  5’8” and 140 and I ordered a medium. It was too wide and too short!,1,111
"However, on cool days it did keep me somewhat warm. Washed by hand and flat drying destroyed the material (woolite).",1,116
"This mask is not design for virus at all, poorly  made and the logo it is all fade out.",1,87
Metal face broke after 2 months,1,31
Went straight to the trash can waaayyyyy to see threw to even wear to the mailbox,1,81
Material not soft and too scratchy . GSon did not like design .,1,63
"The band fell a part, the first week I wore it... super cute but cheaply made..",1,79
Pants run a bit big in body and dont hold their shape. They also run very short.,1,80
I ordered a size 16 it wouldn't even go past my thighs so it was probably more like a size 12. The dress did look somewhat well-made but upon return I never received my refund and had to pay for shipping,1,203
"I bought this as a Valentine’s Day gift for my boyfriend, and not even 2 months later there are holes in the seam of the shoulder! Poorly made! Waste of money! Of course it’s too late to return! I’m so stinking mad. Not to sound like a cliché...BUT....If I could give 0 stars I would!",1,284
Very small. Doest fit my wrist. Backlight is very dim and you cant tell the time in the dark.,1,93
This watch is definitely and $8 or I would say even less than $8 I feel like I got ripped off because it look like it came out of a quart of gumball machine,1,156
Waaaayyyy too big for my wrists. Returned the set!,1,50
The photo is accurate for once and that is the problem.,1,55
"Metal money clip inside wallet came out.. Sadly, this wallet is built like junk",1,79
"The metal frame Is a nice touch. The lens, on the other hand, was cut short and now there is a gap. My glasses arrived with too many noticeable imperfections. Not really worth 6 bucks.",1,184
Product arrived with a dead battery; returned it.,1,49
"I like the look but they are itchy after just one day of wearing, not sure why when advertised as nickel free and hypoallergenic. I do not recommend if you have sensitive skin.",1,176
Gold coat wore off.,1,19
The colors are dull and not bright AT ALL like it  is pictured. The top is baggy and fits horribly. DONT WASTE YOUR MONEY!,1,122
Cheap looking and feeling.,1,26
They were much shorter then the picture shows. I expected them to be longer.,1,76
Seller is very nice to work with.  But this item is so thin you can see through a double layer!  The item description needs to be updated to reflect this fact.,1,159
"If you do not use it all quickly it goes bad and no longer works.  The container lets in too much air/moisture.  Spoils in about 1-2 months.  I use very little at a time so metal ""paint can"" style container works best.  Metal container I got over a year ago and still fresh.",1,274
These things fill apart as soon as I started using them on my keychain. I use them to clip my keychain to my purse so I would never be without them. It’s broke several times and I’ve glued it back but I think I’m done with them and probably will need to come up with something else.,1,282
Too small for my plus size arms 😟. I'm very disappointed... I have plus size arms...  Perhaps if I was a size sixteen they would fit. Not my 20+ size arms.,1,155
I purchased the white dress to wear to my rehearsal dinner and it was extremely see through. It’s hard to even put anything under it to help because the cut outs on the dress are high and almost everything under it shows. I’m sure it would be cute in a darker color.,1,266
They are much lighter colored than in the picture and the sizes don't match. I got these plus when I was at a 6 gauge and they were way too big. I'm now at a 4 gauge and they are still too big. I'll never buy from this seller again.,1,232
"Thin, cheap, tore day one.",1,26
Material looks cheap and very scratchy.,1,39
Not good. Not flattering. Had to send it back. Cheap feeling,1,60
"Earring is super cute and fit in my daith perfectly, but it didn’t latch closed so I lost it within a day. You get what you pay for",1,131
This product feels cheap and looks cheap.  It's the type of thing you know if you touch it too much it will start to discolor.  I'm actually going to return them this week.  Not worthy.,1,185
"This came in today and was not the color advertised. It was baby with a blue stripe, where it pictures a black mask with a blue stripe. It's also made extremely thin and you can see right through it.",1,199
"NOT A SWEATSHIRT !<br />More like a thick nylon t-shirt.<br />Classic dishonorable, lying from a CHINA manufacturer of very poor product.",1,137
"The earrings showed up and they were filthy, the silver was actually more like brown/gray and I had to wash all of them and scrub them to make them look halfway decent and then they were impossible to get clasped after I opened them up to put them on. I would not buy these again.",1,280
WAAAAAY too small.  I wear a standard US 1X (18/20) and ordered a XXXL according to chart conversion.  I would say it was maybe a XL.  But you get what you pay for I suppose.👎🏼,1,176
Don't know why I wasted my money. A cheap towel accomplished the same results. Really unhappy with this purchase.,1,113
"My experience with this product was very brief, so it's hard to have to come with twenty words describing my history with this product. I got this case and the zipper broke the next day this product sucks!",1,205
"When I bought this case it was not labeled as a 6 Plus case. I made sure I ordered one for a normal iPhone 6. This is completely useless to me and I am out $8.00<br />They have since changed the description to say 6 Plus, what a scam.",1,234
"I ordered the 6 mm plugs, however I can't get them in my ears as the flare is huge! The flare is around 8 mm, not great if you don't have much stretch in your ears.",1,164
These are not sterling 925 silver.  Turned my neck green.,1,57
"Look pretty cool, though such sharp lenses they sctuelly cut my nose first time wearing ! They are going back",1,109
Wristband defective  can’t wear,1,31
Too BIG!  Size is incorrect,1,27
So excited to purchase and it does NOT fit my Versa2! So disappointed.,1,70
First wash and the lettering has come off...very disappointed as this was a Christmas gift for my daughter and she hasn’t even worn it yet.,1,139
Very narrow,1,11
These sunglasses are horrible. The lens keep popping out and the wood side pieces are weak.,1,91
I purchased these boots in gray and sand.  The gray boots were good.  The sand boots were not.  There was visible glue between the sole and the upper.  The upper was wrinkled as if the lining was improperly applied.  The tongue was especially wrinkled.  I would not recommend these.,1,282
Shirt was way too wide,1,22
Flimsy and didn’t last me very long,1,35
"Definitely not 4 way stretch,  tight in the knees when bending, strange soft but slick material, no structure to the waist band! Slide down and I have no tummy! Going back!",1,172
The printed image was not centered on the shirt.,1,48
Bag is ok,1,9
Box came very damaged. I was not impressed with this watch in any way,1,69
"I’m not sure why these were not true to size for me, like the review. They were very small. I saw they were from China, I ordered xxxl. I am a size 16. I couldn’t even get them over my thighs. Not for me.",1,204
"This is supposed to be a tunic and it’s more like a long sleeve T-shirt on me. I bought a large, I’m 5’8” 185lbs. Way, way to short and it’s snug also.",1,151
It looks like a mumu without shoulders. It’s literally hideous.,1,63
I can not rate this item because I never received  this necklace. Hoping to get it soon.  I wanted for a gift for Christmas for my niece  I went out and got her something else. Hoping I get it for her birthday that is coming very soo,1,233
"The crown itself is soft metal, the packaging is just a bag. The crown AND replacement came smashed. I will NOT repurchase",1,122
One of the stones fell out after 2 months and I emailed the company and got no response.,1,88
Not at all close to normal sizing.,1,34
Baggy - super stretchy - misleading pictures.<br />Donated it as soon as I laundered it.,1,88
Xxl fits like size medium,1,25
Came missing a button,1,21
Terrible sizing! I ordered a size xl and could not even get my arm on the sleeve due to its tight fit (I am a size 14). This is going back!,1,139
They are very big.,1,18
typically wear a 10/12 large - this shirt is super small across back and chest- sleeves are only part true to size- also very short does not even come to my hips - only 5'5&#34; tall,1,182
Not at all like pictured. Very short and boxy. Not flattering whatsoever.,1,73
[[VIDEOID:a005508b23fb508ad4dccb3c27c29fcd]] This is a child crop top. Picture is very deseaving. Not an adult full size shirt,1,126
The dress doesn’t look anything like the photo it looks like a shirt,1,68
The colors run.,1,15
Even though these socks are supposed to fit from size 10 to 12. I wear a size 11 and they are falling off my feet. Completely unusable,1,134
OMG looks like its made for an American Me.girl doll. Ridiculous,1,64
These are oversized ankle socks that do not stay on.  Not as expected or as pictured.,1,85
broke after wearing once,1,24
It don't look nothing like the picture. .,1,41
"Title pretty much says it all.  I could see flesh color through the whole dress, and when I looked down, I realized I could see the floor through it.  The yarn that was there seemed reasonably thick, but felt scratchy to me.  No thanks.",1,236
Gross!!! Dress was clearly worn!!! Tag was cut off... Dress was bunched up and wrinkled in the bag! Bought this for a funeral. Had to scramble last minute to find something something else! Thanks for checking your products before sending them out!!!,1,249
Runs VERY small. Stretchy material though. Ships from China so beware of sizing. You get what you pay for.,1,106
Arrived dirty..,1,15
This picture shows with a crown but I received just the lion head no crown or diamonds in the eyes,1,98
These pajamas are paper thin and the fit is extremely small.  It literally sounds like you are wearing paper pants when walking.  One pair has already fallen apart in the wash.  I will not be buying these again.,1,211
Does not look like what is pictured! Piece of C@#p,1,50
This product was cheaply made. My daughter wore it once for a dance class and it has a rip in the seam of her left leg.....very disappointed 😞,1,142
I don't recommend. Looks cheap and runs small.,1,46
VERY small. Like for a young child or something...,1,50
Awful sweatshirt. Pattern does not look like the pictures. Would NOT buy again.,1,79
"way to small did not realize how small they were gonna be,wish i would have noticed the size of them before i wasted my money",1,125
Me agrado todo,1,14
"The mask would be great, but arrived cracked and is not returnable or eligible for a replacement.",1,97
You get what you pay for...,1,27
"This item took a very long time for me to receive it.  It is so small, the details are lost. I could not tell it was a skeleton hand when I tried it on; so I don't see the point in wearing it.",1,192
I received this necklace a couple days earlier than the estimated delivery time. The latch is stuck and can't be opened. It is a beautiful necklace and I am very disappointed that I can't wear it. There is no option to contact the seller  so I can't return it.,1,260
it’s a pretty hat but the sizing isn’t for men’s ... and it arrived warped..! not even my niece’s head it fits!,1,111
"Avoid these boots. Purchased less than a month again, worn on weekends only. Holes in the same place in both boots.  Clearly a manufacturing design problem",1,155
way to thin cheaply made do not like big waist and small thighs. material feels weird against my skin.,1,102
"I like the look of the earring but the post in the back is very thin and broke the first time I tried to wear.  Very disappointed. I will try to contact the seller for a replace,ent.",1,182
I'm not happy at all with these necklaces.<br />I've only had them a week and one turned copper already and another one broke while I was wearing it!,1,149
Has a terrible chemical odor I can't get rid of.,1,48
The band on this ring is so thin that it is uncomfortable to wear. Much thinner than it looks from the picture.  Otherwise it's an ok ring. Ruby is pretty murky with many many inclusions.,1,187
I got the suitcase for my daughter for her international trip. It did not survive the one trip. Already on the first flight it broke. I know that airport personnel don’t handle each bag with care. But it should have lasted longer than one flight. Super disappointed.,1,266
If you were a large don’t buy a large fit to tight,1,50
"This product does not fit well, it cost more to return it than buy it almost. Not happy to waste my money!",1,106
Poor quality would not buy this item again,1,42
it was cheap and broke the first day worn! dont waste any money on this junk! terrible terrible terrible terrible,1,113
Took forever to ship and the color is not right and small pieces like chips,1,75
VERY CHEAP SHOE,1,15
cheep product it is very cruddy. and irritating on the skin,1,59
I ordered this 4 pack of shirts labeled large. Two of them were a medium at the absolute largest. There is a clear discrepancy in size between the correct shirts and the ones too small. The box also arrived open inside of the Amazon packaging. Very displeased,1,259
Plugs chipped and the emblems fell out rather quickly.,1,54
"What a joke, I got white cropped top with tinsel which looks nothing like a photo, tinsels are very short the top is barely covering my breasts and I'm a skinny person. It's very short, cheapest quality. Not worth $1",1,216
"The measurements should be reversed. Its about four feet wide, but barely long enough to cover your midriff area, let alone a swimsuit. Not like the photo. Looks very weird on. No way I can keep it or pass it to someone else. I was really looking forward to wearing this because the photo is great.",1,298
Looks brassy and I'm sorry i bought,1,35
Definitely not good when you need something a right size and even return and add in comment that wrong item was sent and I still receive the wrong item again 2 more times. Very pretty dress but not when it’s too small to wear.,1,226
It did not fit properly and the necklace was cheap and damaged.,1,63
"Came with one of the spikes broken off. If these are delicate enough to break during shipping, I wouldn't recommend wearing them.",1,129
Not cotton at all. One of the 4 pics says 100% cotton. Amazon why have u lowered your dtandards,1,95
"It’s cute, but for me it was a bit too tight. Also, the 2nd time I went to put it on, it snapped & beads went everywhere :(",1,123
The style is great.  The quality of the frame is not.  I have had three pair and on each the temple breaks off by the ear.,1,122
"I wore earrings twice, on the second time, garnet fell and never found. Ring is fine,  I wear it every day. Very disappointed about earrings.",1,141
Way to small. I couldn't fit I the pants or anything and I ordered a 3xl. Pathetic.,1,83
"Beautiful dress, gorgeous  color",1,32
Super cheap thing material. Just feels wrong. Didnt even put them on.,1,69
Such thin material that the posts bent and the back of the earrings and the unicorns were digging into my daughter's ears causing a terrible infection. The back of her ears were starting to grow over the back of the earrings and it took over a week to heal.,1,257
Not very supportive for a larger bust.,1,38
this is the cheapest bracelet i have ever bought.  it dosen't tighten and the strings just got loose and it just hangs on the wrist.  would never buy again.,1,156
"I have a big head ....  this visor is a better fit for women ,  small men and kids...",1,85
Just received item with a hole in it!,1,37
I was excited to get this. I needed for a bracelet I had. I was so disappointed when it broke right away. The clasp broke and the only way I could use it was to open the one ring and then close it with oilers.,1,209
The band doesn’t have support to stay on it keeps falling off,1,61
The material is awful. It’s like basket ball shorts. Reminds me of the “roll of shirts” in Idiocracy. This shirt is garbage.,1,124
Went to finally use my Christmas gift. Had it all charged and ready and did not even work. Would not heat up. So bummed.,1,120
Not a thing to like about top unless you like the color. Pants okay if you already jave a top you can wear with them I do notl,1,126
"I was expecting this to be a little loose or even a little snug, but the 3xl fits like an xs. Now I’m stuck with something I cannot wear.",1,137
Cheap broke the first day,1,25
"You get what you pay for. They sat unevenly on my face, frames were off.",1,72
Too loos likw slepping garments,1,31
"This belt is junk, the ratchet keeps coming undone and the leather is junk!",1,75
Bought for my grandson for Christmas.  After 2 days the side seams were falling apart.,1,86
Used for ear cartilage piercing... resulted in infected ear,1,59
feels like sandpaper,1,20
These socks are of such heavy duty compression  that it is nearly impossible to put them on yourself. The material is such that it grabs lint like crazy.,1,153
I don't know how this dress has gotten good reviews. The fabric is so cheap looking!!!!,1,87
They quit working after a week. Their junk. Dont waste your money.,1,66
"I usually wear a large in pants because of my butt, but after reading the reviews I ordered 1 size up and the pants was still too tight annnnnd short. Very disappointed. Will have to give it away because to return would be a hassle. My height btw is 5""5' 169lbs 37/35/49..",1,272
Was not a man's size.,1,21
"Cheap material used.. Came torn upon arrival<br />Not worth the price, returning it..<br />Won't buy from this company again.<br />Also has a starchy feel to it.. Its pretty, but not for me.",1,190
I ordered the size I normally wear and it was very small.,1,57
Color was different from the description,1,40
"Overall, a pretty crappy mask!  Bought much better masks for much less!",1,71
Do not waist your money on this shirt. I wouldn't wish this thing on a homeless person.,1,87
"At least two sizes smaller then expected. If you are going to buy these, buy several sizes up",1,93
Not happy with this to hard,1,27
These glasses are super cheaply made! Do not buy from this seller! These broke within days. Super flimsy and they are barely shaded.,1,132
"These are basically pantyhose cut like shorts. The material is so thin, there's no reason for them to exist.",1,108
Not at ALL what was advertised. Super sticky to the point that I could not get it off. My skin was red and irritated for two days. The video of how it goes on and can be adjusted is not true. My most disappointing Amazon purchase.,1,230
Received today. Product is truly a piwce of s***.  And should only be sild in gumball machines.  Not even woeth returning. ...truly not worth even the 1 star.,1,158
It's wasn't look like the picture,1,33
"Necklace is near impossible to open without cracking a nail and when trying to straighten a kink in the chain, the link snapped. Chain is super flimsy.<br />Didn’t even have the chance to wear it before it broke.",1,212
The quality is super cheap. I lost my money. Put it into the garbage. Please don't buy it.,1,90
"If you order the white dress, it is completely see through! I would not recommend. Very cheap and flimsy. I don’t usually make returns, but there was no way I could waste my money on this.",1,188
Cheap fabric.  Not impressed with the quality.,1,46
You have to lace it up yourself which takes forever and is not good material at all,1,83
Material was cheap “generic look”<br />Returned for refund.,1,59
"Loved the little key chain, however the little metal ring bent and broke the very first day and now the keychain is useless.",1,124
Tag was cut out. Obviously a used or returned item being recycled. Return to sender,1,83
Description says anti fog. They fog up immediately. What a piece of crap.,1,73
Sizing doesn’t match product measurements. It is XL was a medium,1,64
"Did not look so good on my long torso, but I'm abnormally tall so it's probably a me problem.",1,93
See through and not like it's shown in picture. Ugly shirt,1,58
"The plugs that came with my original key holder were made of metal, just like my guitar cables.  These, however, are made of a cheap plastic and feel very weak.",1,160
i order the purple lends i got pink the were huge for an average size head i ended up giving them to my friend wasnt worth returning it,1,135
I disliked the look and length of dress. Material looks cheap and its not true to size. Will be returning,1,105
"Bad quality,too small",1,21
Frame broke literally while I was wearing them without any contact,1,66
Extremely short shorts not like in pic at all very see thru,1,59
Honestly the worst item I have ever bought on Amazon. I got it on Monday October 30th. My daughter wore it for the first time on Halloween and by end of the school day it was unraveling at the shoulders on both arms. By the end of the night it had at least 4 holes in it. A complete waste of money.,1,298
Arrived broken without missing link,1,35
Maybe if you're just buying the size 4 it's fine since that's what they tend to send out.,1,89
This was not a good buy. Those three stands stay twisted. I thought of trashing it.,1,83
Sending them back they dont stay latched to the pants.,1,54
Not great material. Runs very small.,1,36
said cotton material in description but when they arrived they were like a silky polyester material. Not at all what u was expecting,1,132
"The description clearly says Necklace & bracelet set. Description says 1 necklace & 1 bracelet.  I ordered this is August and just got it today Nov. 19, 2018.",1,158
"Very cheap material, fits extremely small.  Also, it's a crop top so don't expect it to be like a normal sweatshirt.  J would not recommend this product.",1,153
The lenses were too small.,1,26
Quality over all is bad,1,23
"Didn't expect these earrings to be made of wood, they look cheaply painted with glitters of gold and so I definitely gave them away. Would never in my wildest days wear these anywhere",1,183
Terrible quality. Size is way off and fabric is terrible quality.,1,65
Too think,1,9
The stings that are supposed to go across your chest are ginormous. If you don't have ginormous boobs & a little waist don't purchase.,1,134
Super ugly and stiff fabric,1,27
I purchased an extra-large and it didn't fit my size 3 daughter!,1,64
"These lokk great and are priced well, but they are poorly made. Within two weeks two have developed holes. This is the second pack I bought, and the first one had one that had a small hole after two weeks. I wouldn't buy them again.",1,232
Demasiado mal se arruga rápido bien feo no lo recomiendo,1,56
These goggles broke after the first use. Save your money. Only giving one star because I had go in order to post a review.,1,122
Very poor quality orderd a small tag says large.  Will never wear it waste of money,1,83
broke after two wears,1,21
I washed these before wearing and they came out of the dryer completely coming apart. Disappointing!,1,100
Didn’t fit description.,1,23
"Didn't seem to realize theese are made of cardboard! There a little to big, and the teardrop shape, just doesn't really do it for Valentines! I bought theese for my girls at work, but there just a little to big, they don't really want to wear them.",1,248
"Printed image, no sparkles, glitter or sequins. Absolutely not as advertised.",1,77
Cheap patch that didn’t seem like it would hold up well. It was returned.,1,73
Disliked the hat because the writing on it was smudged and hardly legible. Bad quality control. Would like another hat with the words “ Chief Warrant Officer” and US Army Retired” clearer and more legible.,1,205
I ordered a small and the fit was awkward. It was loose around the stomach and the sleeves were too short. Will be returning.,1,125
They have a horrible muste smell.  I can't get rid of the smell,1,63
This was a nice idea for a gift for my husband. However the smaller charms fell off within the first week.<br />Then the bigger charm fell off about a week later,1,161
Way too small for size 10,1,25
to hot,1,6
"Weird fit. I ordered a medium, but the crotch was super large in relation to the inseam. I had to pull the medium up past my navel to get anything that felt like the liner was where it was supposed to be.",1,204
Lettering peeling off first time wearing!!,1,42
The hat wasn't worth the little money I paid for it. It looked way better in the picture.  Stop selling this junk!,1,114
I ordered a 12 and it didnt fit its sooo big waste of money,1,59
I am returning this item because it runs too large.,1,51
Se decoloran las cuentas y pinta la ropa de color rojo.,1,55
"Very short torso on this. Might work for a child or very small woman. Sent back, couldn't even use it as an around the house outfit.",1,132
I ordered this for my 6 year old it’s it probably can fit an 2 year old way to small,1,84
Looks super cheap and crappily made. Have no idea how this got a decent rating. Free product perhaps?,1,101
"This was cheap… I get it.  But come on. This is bathrobe material.  I am usually happy with my orders from Amazon so I will not complain because I order a lot, but this was a joke. Take your $16 and go buy you a couple of pairs of socks.",1,237
very heavy and large.had to send back,1,37
Not the right size at all two sizes smaller then what it really is,1,66
I returned this item. I did not like this top at all. The material is cheap and the print is very low quality.,1,110
DONT BUY! Seriously don’t it’s nothing like the pictures and wire in it attaches to nothing and it’s crap! For real don’t buy. Nothing nothing nothing nothing like picture! I wish I could give it a negative rating!,1,214
"The watch is cool but the  pull pin want stay in , because of this issue the watch will stop working.  The pin is to lose. I push the pin in and it will come out again.  So I super glue it. Hopefully when its time for a battery I can pull the pin out",1,250
First time in pool it no longer worked,1,38
I got a different design than the one I bought,1,46
i don't like,1,12
Not recommended for petites.,1,28
They were pretty but they were hard to wear. The back were hard to remove and take off.  Plus they were painful to wear.,1,120
Broke the day after I got it.,1,29
This watch is way to small for a guy and I'm not a big guy - 5-7 and 155 lbs with normal size wrist.  Barely fits around my wrist and looks like a women's watch.  I wore these old style casios for years a long time ago and this is not the same product.,1,252
These run so small! I am 5’3 and usually wear an 8/10. I ordered large/XL and they looked like the were made for a kid.,1,119
Nothing trying to return it. The code that was given to me Ups stated it’s wrong???,1,83
"The neck was too big and kept sliding down in the back which made me pull it forward constantly. The pockets were more toward the center than the sides so were awkward to use. For me, this just wasn't comfortable. Sent it back.",1,227
"Falling apart almost immediately. Impossible to get on because the different components of the sock are basically separate with some regular, weak stitching.",1,157
"First of all these boots were delivered just loose in a bag and the quality is very poor! You can see the glue around the sole and feels all lumpy on the inside under your foot.  It's too bad because from a distance, they are really cute.",1,238
The strap on the top snapped when I was trying it on.,1,53
The hole for the earring post was too small to fit even one of my earrings and there is no return available in spite of the fact that they are junk and unusable.  PLEASE don't waste your money.,1,193
These locs are not dark at all they are very cheaply made and easy to break. I've only had these glasses a few days and the lense has already popped out! These glasses are junk!,1,177
No support built in! I've never worn them!,1,42
I bought these for the annual sunglasses party and these were a major fail. These were so terrible not to be worn out of the house if worn at all. There is no UV protection and the lenses were so cheap and warped we ended up popping them out. I would not buy these again.,1,271
The neck hole was way too big. For awkwardly on my shoulders. Could see my bra straps. Couldn’t wear it on only 1 shoulder to offset the awkward fit so I returned.,1,163
After 1 week I had to message seller because the sole inside would ride up ankle and almost come out of shoe. I have not heard back from seller about the problem.,1,162
Size chart said it would fit.  It did not.,1,42
